detailLink,name,peopleNumber,positionInfo,publishTime,workLocation
http://hr.tencent.com/position_detail.php?id=32468&keywords=&tid=0&lid=0,22025-王者荣耀全球版-移动客户端开发工程师（深圳）,2,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=32470&keywords=&tid=0&lid=0,22025-王者荣耀全球版-高级UI设计师（深圳）,2,设计类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=32471&keywords=&tid=0&lid=0,22968-华南食品饮料行业销售经理,1,市场类,2017-08-31,广州
http://hr.tencent.com/position_detail.php?id=32438&keywords=&tid=0&lid=0,MIG12-高级数据分析师（深圳）,1,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=32442&keywords=&tid=0&lid=0,MIG12-运营开发高级工程师（北京）,1,技术类,2017-08-31,北京
http://hr.tencent.com/position_detail.php?id=32433&keywords=&tid=0&lid=0,22968-华东汽车行业销售经理（上海）,1,市场类,2017-08-31,上海
http://hr.tencent.com/position_detail.php?id=32434&keywords=&tid=0&lid=0,22968-华东食品饮料行业销售经理（上海）,1,市场类,2017-08-31,上海
http://hr.tencent.com/position_detail.php?id=32435&keywords=&tid=0&lid=0,20503-优图Web资深前端开发工程师（上海）,1,技术类,2017-08-31,上海
http://hr.tencent.com/position_detail.php?id=32436&keywords=&tid=0&lid=0,15570-御龙在天移动版项目组游戏原画设计师（深圳）,1,设计类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=32437&keywords=&tid=0&lid=0,18425-乘车码产品策划经理,1,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=32439&keywords=&tid=0&lid=0,MIG09-数据分析运营经理,1,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=32425&keywords=&tid=0&lid=0,IEG-招聘经理（深圳）,1,职能类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=32428&keywords=&tid=0&lid=0,22025-王者荣耀全球版-手游资深特效设计师(深圳),1,设计类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=32429&keywords=&tid=0&lid=0,22025-王者荣耀全球版-2D场景设计师（深圳）,1,设计类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=32430&keywords=&tid=0&lid=0,22025-王者荣耀全球版-2D角色设计师（深圳）,1,设计类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=32432&keywords=&tid=0&lid=0,22025-王者荣耀全球版-3D场景设计（深圳）,1,设计类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=32383&keywords=&tid=0&lid=0,MIG16-自动驾驶机器人后台开发工程师(北京),1,技术类,2017-08-31,北京
http://hr.tencent.com/position_detail.php?id=32254&keywords=&tid=0&lid=0,SNG06-鹅漫U品后台开发工程师（深圳）,4,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=32006&keywords=&tid=0&lid=0,WXG08-122 微信搜索数据挖掘算法工程师（广州）,2,技术类,2017-08-31,广州
http://hr.tencent.com/position_detail.php?id=32008&keywords=&tid=0&lid=0,WXG08-113 微信搜索后台开发高级工程师（广州）,2,技术类,2017-08-31,广州
http://hr.tencent.com/position_detail.php?id=32373&keywords=&tid=0&lid=0,MIG16-自动驾驶机器人感知算法工程师(北京),1,技术类,2017-08-31,北京
http://hr.tencent.com/position_detail.php?id=32219&keywords=&tid=0&lid=0,SNG16-QQ音乐商业化产品运营经理(深圳),1,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=32007&keywords=&tid=0&lid=0,WXG08-121 微信搜索算法高级工程师（深圳）,1,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=31824&keywords=&tid=0&lid=0,22989-腾讯云大数据开发工程师,1,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=31966&keywords=&tid=0&lid=0,WXG08-121 微信广告算法工程师(广州),2,技术类,2017-08-31,广州
http://hr.tencent.com/position_detail.php?id=31778&keywords=&tid=0&lid=0,SNG07-高级系统测试工程师（深圳）,1,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=31635&keywords=&tid=0&lid=0,SNG06-QQ会员平台后台开发工程师（深圳）,1,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=31703&keywords=&tid=0&lid=0,22025-王者荣耀全球版-手游战斗策划（深圳）,1,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=31493&keywords=&tid=0&lid=0,21087-社区产品策划（深圳）,0,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=31567&keywords=&tid=0&lid=0,TEG12-IDC高级规划师(深圳）,1,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=31419&keywords=&tid=0&lid=0,22025-王者荣耀全球版-资深系统策划（深圳）,4,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=30757&keywords=&tid=0&lid=0,22989-云存储研发工程师（厦门）,2,技术类,2017-08-31,厦门
http://hr.tencent.com/position_detail.php?id=31306&keywords=&tid=0&lid=0,TEG11-TEG11-视觉SLAM工程师（深圳）,2,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=31316&keywords=&tid=0&lid=0,15851-移动游戏专项技术测试（深圳）,2,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=31338&keywords=&tid=0&lid=0,22990-游戏云商务拓展,2,市场类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=31339&keywords=&tid=0&lid=0,22990-游戏云商务拓展,2,市场类,2017-08-31,上海
http://hr.tencent.com/position_detail.php?id=30749&keywords=&tid=0&lid=0,16811-IP业务助理（深圳）,1,职能类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=30753&keywords=&tid=0&lid=0,22989-高级视频软件工程师（北京）,1,技术类,2017-08-31,北京
http://hr.tencent.com/position_detail.php?id=30754&keywords=&tid=0&lid=0,SNG01-QQ应用框架开发（算法）工程师（深圳）,1,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=30755&keywords=&tid=0&lid=0,23048-桌面QQ浏览器网页游戏运营经理（北京）,1,产品/项目类,2017-08-31,北京
http://hr.tencent.com/position_detail.php?id=30756&keywords=&tid=0&lid=0,22989-大数据计算开发工程师（深圳）,1,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=30741&keywords=&tid=0&lid=0,SNG01-QQ产品运营支撑组长（深圳）,1,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=30742&keywords=&tid=0&lid=0,SNG01-手机QQ-android开发工程师（深圳）,2,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=30747&keywords=&tid=0&lid=0,16811-IP制作人（影视方向）,2,产品/项目类,2017-08-31,北京
http://hr.tencent.com/position_detail.php?id=30748&keywords=&tid=0&lid=0,16811-IP品牌经理（深圳）,1,市场类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=30708&keywords=&tid=0&lid=0,OMG236-社区运营经理（深圳）,1,产品/项目类,2017-08-31,深圳
